venue,city,country
Gurugram Cricket Ground (SRNCC),Gurugram,India
Guttsta Wicked Cricket Club,Kolsva,Sweden
"Guyana National Stadium, Providence",Providence,Guyana
Gymkhana Club,Chiang Mai,Thailand
Gymkhana Club Ground,Nairobi,Kenya
"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,Tanzania
"Gymkhana Club Ground, Nairobi",Nairobi,Kenya
Hagley Oval,Christchurch,New Zealand
Hagley Oval,Christchurch,New Zealand
"Hagley Oval, Christchurch",Christchurch,New Zealand
Happy Valley Ground,Episkopi,Cyprus
Happy Valley Ground 2,Episkopi,Cyprus
Harare Sports Club,Harare,Zimbabwe
Harare Sports Club,Harare,Zimbabwe
Hare Field,Coggeshall,England
Harlequins,Pretoria,South Africa
Harrup Park,Mackay,Australia
"Harry Barker Reserve, Gisborne",Gisborne,New Zealand
Haslegrave Ground,Loughborough,England
"Haslegrave Ground, Loughborough",Loughborough,England
Hazelaarweg,Rotterdam,Netherlands
"Hazelaarweg, Rotterdam",Rotterdam,Netherlands
Headingley,Leeds,England
"Headingley, Leeds",Leeds,England
"High Performance Oval, Windhoek",Windhoek,Namibia
Himachal Pradesh Cricket Association Stadium,Dharamsala,India
Himachal Pradesh Cricket Association Stadium,Dharamsala,India
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India
Holkar Cricket Stadium,Indore,India
"Holkar Cricket Stadium, Indore",Indore,India
Holkar Stadium,Indore,India
Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong
Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong
Howell Oval,Sydney,Australia
"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina
Hurstville Oval,Sydney,Australia
IC-Gurunanak College Ground,Chennai,India
ICC Academy,Dubai,United Arab Emirates
ICC Academy Ground No 2,Dubai,United Arab Emirates
"ICC Academy Ground No 2, Dubai",Dubai,United Arab Emirates
ICC Academy Oval 1,Dubai,United Arab Emirates
ICC Academy Oval 2,Dubai,United Arab Emirates
"ICC Academy, Dubai",Dubai,United Arab Emirates
ICC Global Cricket Academy,Dubai,United Arab Emirates
"Independence Park, Port Vila",Port Vila,Vanuatu
Indian Association Ground,Singapore,Singapore
"Indian Association Ground, Singapore",Singapore,Singapore
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",Belfast,Northern Ireland
Integrated Polytechnic Regional Centre,Kigali City,Rwanda
International Sports Stadium,Coffs Harbour,Australia
"International Sports Stadium, Coffs Harbour",Coffs Harbour,Australia
Invermay Park,Launceston,Australia
"Invermay Park, Launceston",Launceston,Australia
Iqbal Stadium,Faisalabad,Pakistan
"Iqbal Stadium, Faisalabad",Faisalabad,Pakistan
"Ishoj Cricket Club, Vejledalen",Ishoj,Denmark
JSCA International Stadium Complex,Ranchi,India
JSCA International Stadium Complex,Ranchi,India
"JSCA International Stadium Complex, Ranchi",Ranchi,India
"JU Second Campus, Salt Lake",Kolkata,India
Jadavpur University Campus,Kolkata,India
"Jadavpur University Campus 2nd Ground, Kolkata",Kolkata,India
Jade Stadium,Christchurch,New Zealand
"Jade Stadium, Christchurch",Christchurch,New Zealand
Jaffery Sports Club Ground,Nairobi,Kenya
Jawaharlal Nehru Stadium,New Delhi,India
"Jimmy Powell Oval, Cayman Islands",George Town,Cayman Islands
Jinja Cricket Ground,Jinja,Uganda
John Davies Oval,Queenstown,New Zealand
"John Davies Oval, Queenstown",Queenstown,New Zealand
Johor Cricket Academy Oval,Johor,Malaysia
Johor Cricket Academy Oval,Johor,Malaysia
"Jubilee Park, Ringwood, Melbourne",Melbourne,Australia
Junction Oval,Melbourne,Australia
"Junction Oval, Melbourne",Melbourne,Australia
"KSCA Cricket Ground, Alur",Bengaluru,India
Kaizuka Cricket Ground,Osaka,Japan
Kallang Ground,Singapore,Singapore
Karen Rolton Oval,Adelaide,Australia
"Karen Rolton Oval, Adelaide",Adelaide,Australia
"Karori Park, Wellington",Wellington,New Zealand
Keenan Stadium,Jamshedpur,India
Kennards Hire Community Oval,Sydney,Australia
Kennington Oval,London,England
"Kennington Oval, London",London,England
Kensington Oval,Bridgetown,Barbados
"Kensington Oval, Barbados",Bridgetown,Barbados
"Kensington Oval, Bridgetown",Bridgetown,Barbados
"Kensington Oval, Bridgetown, Barbados",Bridgetown,Barbados
Kent County Cricket Ground,Beckenham,England
"Kent County Cricket Ground, Beckenham",Beckenham,England
Kerava National Cricket Ground,Kerava,Finland
Kerrydale Oval,Gold Coast,Australia
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
Khettarama Stadium,Colombo,Sri Lanka
Kibworth Cricket Club Ground,Kibworth,England
Kibworth Cricket Club New Ground,Kibworth,England
King George V Sports Ground,Castel,Guernsey
"King George V Sports Ground, Castel",Castel,Guernsey
Kingsmead,Durban,South Africa
"Kingsmead, Durban",Durban,South Africa
"Kingston Twin Ovals, Hobart",Hobart,Australia
Kinrara Academy Oval,Kuala Lumpur,Malaysia
"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Malaysia
Kinrara Oval,Kuala Lumpur,Malaysia
Koge Cricket Club,Koge,Denmark
Koge Cricket Club 2,Koge,Denmark
"Kotambi Stadium, Vadodara",Vadodara,India
Kowloon Cricket Club,Kowloon,Hong Kong
Kwekwe Sports Club,Kwekwe,Zimbabwe
"Kyambogo Cricket Ground, Kampala",Kampala,Uganda
Kyambogo Cricket Oval,Kampala,Uganda
LC de Villiers Oval,Pretoria,South Africa
La Manga Club Bottom Ground,Murcia,Spain
La Manga Club Top Ground,Murcia,Spain
Lahore City Cricket Association Ground,Lahore,Pakistan
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,India
Lalabhai Contractor Stadium,Surat,India
Lalbhai Contractor Stadium,Surat,India
Las Caballerizas,Mexico City,Mexico
"Latrobe Recreation Ground, Latrobe",Latrobe,Australia
Lavington Sports Oval,Albury,Australia
"Lavington Sports Oval, Albury",Albury,Australia
Lilac Hill Park,Perth,Australia
"Lilac Hill Park, Perth",Perth,Australia
"Lindum Sports Club Ground, Lincoln",Lincoln,England
Lisicji Jarak Cricket Ground,Belgrade,Serbia
Lochlands,Arbroath,Scotland
Lord's,London,England
"Lord's, London",London,England
"Lords, St David's Cricket Club Ground",St David's,Bermuda
Los Reyes Polo Club,Guacima,Costa Rica
Louth Cricket Club,Louth,England
Lugogo Cricket Oval,Kampala,Uganda
"Lugogo Cricket Oval, Kampala",Kampala,Uganda
M Chinnaswamy Stadium,Bengaluru,India
M Chinnaswamy Stadium,Bengaluru,India
"M Chinnaswamy Stadium, Bangalore",Bengaluru,India
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India
M.Chinnaswamy Stadium,Bengaluru,India
MA Aziz Stadium,Chattogram,Bangladesh
"MA Aziz Stadium, Chittagong",Chattogram,Bangladesh
MA Chidambaram Stadium,Chennai,India
"MA Chidambaram Stadium, Chepauk",Chennai,India
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India
Madhavrao Scindia Cricket Ground,Rajkot,India
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,India
Maharani Usharaje Trust Cricket Ground,Indore,India
Maharashtra Cricket Association Stadium,Pune,India
"Maharashtra Cricket Association Stadium, Pune",Pune,India
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,Sri Lanka
Mainpower Oval,Rangiora,New Zealand
Mainpower Oval,Rangiora,New Zealand
"Mainpower Oval, Rangiora",Rangiora,New Zealand
Malahide,Dublin,Ireland
"Malahide, Dublin",Dublin,Ireland
"Malek Cricket Ground, Ajman",Ajman,United Arab Emirates
Malkerns Country Club oval,Malkerns,Eswatini
Mangaung Oval,Bloemfontein,South Africa
"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa
Mannofield Park,Aberdeen,Scotland
"Mannofield Park, Aberdeen",Aberdeen,Scotland
Manuka Oval,Canberra,Australia
"Manuka Oval, Canberra",Canberra,Australia
"Maple Leaf North-East Ground, King City",King City,Canada
Maple Leaf North-West Ground,King City,Canada
Maple Leaf North-West Ground,Toronto,Canada
"Maple Leaf North-West Ground, King City",King City,Canada
Maple Leaf South-West Ground,King City,Canada
"Mardyke, Cork",Cork,Ireland
"Marina Ground, Corfu",Corfu,Greece
Marrara Cricket Ground,Darwin,Australia
"Marrara Cricket Ground, Darwin",Darwin,Australia
"Marrara Stadium, Darwin",Darwin,Australia
Marsa Sports Club,Marsa,Malta
McLean Park,Napier,New Zealand
McLean Park,Napier,New Zealand
"McLean Park, Napier",Napier,New Zealand
"Meersen, Gent",Ghent,Belgium
Melbourne Cricket Ground,Melbourne,Australia
Melbourne Cricket Ground,Melbourne,Australia
Mercantile Cricket Association Ground,Colombo,Sri Lanka
Merchant Taylors' School Ground,Northwood,England
"Merchant Taylors' School Ground, Northwood",Northwood,England
Merrion Cricket Club Ground,Dublin,Ireland
"Merrion Cricket Club Ground, Dublin",Dublin,Ireland
"Millfield School, Street",Street,England
"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong
"Mitchells and Butlers' Ground, Birmingham",Birmingham,England
"Mladost Cricket Ground, Zagreb",Zagreb,Croatia
Moara Vlasiei Cricket Ground,Ilfov County,Romania
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania
Molyneux Park,Alexandra,New Zealand
Molyneux Park,Alexandra,New Zealand
"Molyneux Park, Alexandra",Alexandra,New Zealand
Mombasa Sports Club Ground,Mombasa,Kenya
"Moors Sports Club Ground, Colombo",Colombo,Sri Lanka
"Moosa Cricket Stadium, Pearland",Pearland,United States of America
Morodok Techo National Stadium,Phnom Penh,Cambodia
Moses Mabhida Stadium,Durban,South Africa
Motibaug Cricket Ground,Vadodara,India
Mulpani Cricket Ground,Kathmandu,Nepal
Multan Cricket Stadium,Multan,Pakistan
Multan Cricket Stadium,Multan,Pakistan
Myreside,Edinburgh,Scotland
"N'Du Stadium, Noumea, New Caledonia",Noumea,New Caledonia
Nahar Singh Stadium,Faridabad,India
"Nahar Singh Stadium, Faridabad",Faridabad,India
"Namibia Cricket Ground, Windhoek",Windhoek,Namibia
Narayanganj Osmani Stadium,Fatullah,Bangladesh
Narendra Modi Stadium,Ahmedabad,India
"Narendra Modi Stadium Ground 'A', Motera",Ahmedabad,India
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India
"Nassau County International Cricket Stadium, New York",New York,United States of America
National Cricket Stadium,St George's,Grenada
"National Cricket Stadium, Grenada",St George's,Grenada
"National Cricket Stadium, St George's",St George's,Grenada
"National Cricket Stadium, St George's, Grenada",St George's,Grenada
"National Sports Academy, Sofia",Sofia,Bulgaria
National Stadium,Hamilton,Bermuda
National Stadium,Karachi,Pakistan
"National Stadium, Hamilton",Hamilton,Bermuda
