alias_venue,alias_city,canonical_venue,canonical_city,canonical_country,review_status,notes
"Blacktown International Sportspark, Sydney",Sydney,Blacktown International Sportspark,Sydney,Australia,approved_auto,source=gemini_candidate
Boland Bank Park,Paarl,Boland Park,Paarl,South Africa,approved_auto,source=gemini_candidate
"Boland Bank Park, Paarl",Paarl,Boland Park,Paarl,South Africa,approved_auto,source=gemini_candidate
"Boland Park, Paarl",Paarl,Boland Park,Paarl,South Africa,approved_auto,source=gemini_candidate
"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana Cricket Association Oval 1,Gaborone,Botswana,approved_auto,source=gemini_candidate
"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana Cricket Association Oval 2,Gaborone,Botswana,approved_auto,source=gemini_candidate
"Brabourne Stadium, Mumbai",Mumbai,Brabourne Stadium,Mumbai,India,approved_auto,source=gemini_candidate
"Bradman Oval, Bowral",Bowral,Bradman Oval,Bowral,Australia,approved_auto,source=gemini_candidate
Bready,Derry,"Bready Cricket Club, Magheramason",Londonderry,Northern Ireland,approved_auto,source=gemini_candidate
"Bready Cricket Club, Magheramason",Bready,"Bready Cricket Club, Magheramason",Londonderry,Northern Ireland,approved_auto,source=gemini_candidate
"Bready Cricket Club, Magheramason, Bready",Bready,"Bready Cricket Club, Magheramason",Londonderry,Northern Ireland,approved_auto,source=gemini_candidate
"Brian Lara Stadium, Tarouba",Trinidad,Brian Lara Stadium,Tarouba,Trinidad and Tobago,approved_auto,source=gemini_candidate
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Brian Lara Stadium,Tarouba,Trinidad and Tobago,approved_auto,source=gemini_candidate
"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Cricket Ground,Brisbane,Australia,approved_auto,source=gemini_candidate
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Brisbane Cricket Ground,Brisbane,Australia,approved_auto,source=gemini_candidate
"Buffalo Park, East London",East London,Buffalo Park,East London,South Africa,approved_auto,source=gemini_candidate
Bulawayo Athletic Club,,Bulawayo Athletic Club,Bulawayo,Zimbabwe,approved_auto,source=gemini_candidate
"Cambusdoon New Ground, Ayr",Ayr,Cambusdoon New Ground,Ayr,Scotland,approved_auto,source=gemini_candidate
"Captain Roop Singh Stadium, Gwalior",Gwalior,Captain Roop Singh Stadium,Gwalior,India,approved_auto,source=gemini_candidate
Carrara Oval,,Carrara Oval,Carrara,Australia,approved_auto,source=gemini_candidate
"Casey Fields No 4, Melbourne",Melbourne,Casey Fields No. 4,Melbourne,Australia,approved_auto,source=gemini_candidate
"Castle Avenue, Dublin",Dublin,Castle Avenue,Dublin,Ireland,approved_auto,source=gemini_candidate
"Castle Park Cricket Ground, Colchester",Colchester,Castle Park Cricket Ground,Colchester,England,approved_auto,source=gemini_candidate
"Bundaberg Rum Stadium, Cairns",Cairns,Cazaly's Stadium,Cairns,Australia,approved_auto,source=gemini_candidate
"Cazaly's Stadium, Cairns",Cairns,Cazaly's Stadium,Cairns,Australia,approved_auto,source=gemini_candidate
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,approved_auto,source=gemini_candidate
"Chevrolet Park, Bloemfontein",Bloemfontein,Chevrolet Park,Bloemfontein,South Africa,approved_auto,source=gemini_candidate
"Church Street Park, Morrisville",Morrisville,Church Street Park,Morrisville,United States of America,approved_auto,source=gemini_candidate
"City Oval, Pietermaritzburg",Pietermaritzburg,City Oval,Pietermaritzburg,South Africa,approved_auto,source=gemini_candidate
"Civil Service Cricket Club, Stormont, Belfast",Belfast,"Civil Service Cricket Club, Stormont",Belfast,Northern Ireland,approved_auto,source=gemini_candidate
"Clontarf Cricket Club Ground, Dublin",Dublin,Clontarf Cricket Club Ground,Dublin,Ireland,approved_auto,source=gemini_candidate
Cobham Oval,,Cobham Oval,Whangarei,New Zealand,approved_auto,source=gemini_candidate
Cobham Oval (New),Whangarei,Cobham Oval,Whangarei,New Zealand,approved_auto,source=gemini_candidate
"Cobham Oval (New), Whangarei",Whangarei,Cobham Oval,Whangarei,New Zealand,approved_auto,source=gemini_candidate
"Cobham Oval, Whangarei",Whangarei,Cobham Oval,Whangarei,New Zealand,approved_auto,source=gemini_candidate
Colin Maiden Park,,Colin Maiden Park,Auckland,New Zealand,approved_auto,source=gemini_candidate
"Colin Maiden Park, Auckland",Auckland,Colin Maiden Park,Auckland,New Zealand,approved_auto,source=gemini_candidate
"College Field, St Peter Port",St Peter Port,College Field,St Peter Port,Guernsey,approved_auto,source=gemini_candidate
"College Ground, Cheltenham",Cheltenham,College Ground,Cheltenham,England,approved_auto,source=gemini_candidate
Colombo Cricket Club Ground,,Colombo Cricket Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
"Colts Cricket Club Ground, Colombo",Colombo,Colts Cricket Club Ground,Colombo,Sri Lanka,approved_auto,source=gemini_candidate
Coolidge Cricket Ground,Antigua,Coolidge Cricket Ground,Coolidge,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Coolidge Cricket Ground, Antigua",Coolidge,Coolidge Cricket Ground,Coolidge,Antigua and Barbuda,approved_auto,source=gemini_candidate
County Ground,Bristol,"County Ground, Bristol",Bristol,England,approved_auto,source=gemini_candidate
County Ground,Chelmsford,"County Ground, Chelmsford",Chelmsford,England,approved_auto,source=gemini_candidate
"County Ground, Chelmsford",,"County Ground, Chelmsford",Chelmsford,England,approved_auto,source=gemini_candidate
County Ground,Derby,"County Ground, Derby",Derby,England,approved_auto,source=gemini_candidate
"County Ground, Derby",Derby,"County Ground, Derby",Derby,England,approved_auto,source=gemini_candidate
County Ground,Hove,"County Ground, Hove",Hove,England,approved_auto,source=gemini_candidate
"County Ground, Hove",Brighton,"County Ground, Hove",Hove,England,approved_auto,source=gemini_candidate
County Ground,Northampton,"County Ground, Northampton",Northampton,England,approved_auto,source=gemini_candidate
"County Ground, Northampton",Northampton,"County Ground, Northampton",Northampton,England,approved_auto,source=gemini_candidate
County Ground,Taunton,"County Ground, Taunton",Taunton,England,approved_auto,source=gemini_candidate
"County Ground, Taunton",Taunton,"County Ground, Taunton",Taunton,England,approved_auto,source=gemini_candidate
"County Ground, New Road, Worcester",Worcester,"County Ground, New Road",Worcester,England,approved_auto,source=gemini_candidate
"Beausejour Stadium, Gros Islet",St Lucia,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia,approved_auto,source=gemini_candidate
"De Beers Diamond Oval, Kimberley",Kimberley,De Beers Diamond Oval,Kimberley,South Africa,approved_auto,source=gemini_candidate
Diamond Oval,Kimberley,De Beers Diamond Oval,Kimberley,South Africa,approved_auto,source=gemini_candidate
"Diamond Oval, Kimberley",Kimberley,De Beers Diamond Oval,Kimberley,South Africa,approved_auto,source=gemini_candidate
"Desert Springs Cricket Ground, Almeria",Almeria,Desert Springs Cricket Ground,Almeria,Spain,approved_auto,source=gemini_candidate
"Docklands Stadium, Melbourne",Melbourne,Docklands Stadium,Melbourne,Australia,approved_auto,source=gemini_candidate
Dr DY Patil Sports Academy,Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,approved_auto,source=gemini_candidate
"Dr DY Patil Sports Academy, Mumbai",Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,approved_auto,source=gemini_candidate
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,approved_auto,source=gemini_candidate
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,Dr DY Patil Sports Academy,Navi Mumbai,India,approved_auto,source=gemini_candidate
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,approved_auto,source=gemini_candidate
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,approved_auto,source=gemini_candidate
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,approved_auto,source=gemini_candidate
"Drummoyne Oval, Sydney",Sydney,Drummoyne Oval,Sydney,Australia,approved_auto,source=gemini_candidate
Dubai International Cricket Stadium,,Dubai International Cricket Stadium,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
Dubai Sports City Cricket Stadium,,Dubai International Cricket Stadium,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
"Eastern Oval, Ballarat",Ballarat,Eastern Oval,Ballarat,Australia,approved_auto,source=gemini_candidate
Eden Gardens,,Eden Gardens,Kolkata,India,approved_auto,source=gemini_candidate
"Eden Gardens, Kolkata",Kolkata,Eden Gardens,Kolkata,India,approved_auto,source=gemini_candidate
Eden Park,,Eden Park,Auckland,New Zealand,approved_auto,source=gemini_candidate
"Eden Park, Auckland",Auckland,Eden Park,Auckland,New Zealand,approved_auto,source=gemini_candidate
"Edgbaston, Birmingham",Birmingham,Edgbaston,Birmingham,England,approved_auto,source=gemini_candidate
Entebbe Cricket Oval,,Entebbe Cricket Oval,Entebbe,Uganda,approved_auto,source=gemini_candidate
"FB Fields, St Clement",St Clement,FB Fields,St Clement,Jersey,approved_auto,source=gemini_candidate
"FTZ Sports Complex (Board of Investment), Katunayake",Katunayake,FTZ Sports Complex (BOI),Katunayake,Sri Lanka,approved_auto,source=gemini_candidate
"Farmers Cricket Club Ground, St Martin",St Martin,Farmers Cricket Club Ground,St Martin,Jersey,approved_auto,source=gemini_candidate
Fitzherbert Park,,Fitzherbert Park,Palmerston North,New Zealand,approved_auto,source=gemini_candidate
"Fitzherbert Park, Palmerston North",Palmerston North,Fitzherbert Park,Palmerston North,New Zealand,approved_auto,source=gemini_candidate
"Forthill, Dundee",Dundee,Forthill,Dundee,Scotland,approved_auto,source=gemini_candidate
"Gaddafi Stadium, Lahore",Lahore,Gaddafi Stadium,Lahore,Pakistan,approved_auto,source=gemini_candidate
"Gahanga International Cricket Stadium, Rwanda",Kigali City,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,approved_auto,source=gemini_candidate
Gahanga International Cricket Stadium. Rwanda,Kigali City,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,approved_auto,source=gemini_candidate
"Gahanga International Cricket Stadium, Rwanda",,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,approved_manual,manual_null_city_fallback
Gahanga International Cricket Stadium. Rwanda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,approved_manual,manual_null_city_fallback
Galle International Stadium,Galle,Galle International Stadium,Galle,Sri Lanka,approved_auto,source=gemini_candidate
Gliderol Stadium,Adelaide,Gliderol Stadium,Adelaide,Australia,approved_auto,source=gemini_candidate
Goldenacre,Edinburgh,Goldenacre,Edinburgh,Scotland,approved_auto,source=gemini_candidate
Goodyear Park,Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,approved_auto,source=gemini_candidate
"Goodyear Park, Bloemfontein",Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,approved_auto,source=gemini_candidate
"Mangaung Oval, Bloemfontein",Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,approved_auto,source=gemini_candidate
Grace Road,Leicester,Grace Road,Leicester,England,approved_auto,source=gemini_candidate
Grainville,St Saviour,Grainville,St Saviour,Jersey,approved_auto,source=gemini_candidate
"Grainville, St Saviour",St Saviour,Grainville,St Saviour,Jersey,approved_auto,source=gemini_candidate
Grand Prairie Stadium,Dallas,Grand Prairie Stadium,Grand Prairie,United States of America,approved_auto,source=gemini_candidate
"Grand Prairie Stadium, Dallas",Dallas,Grand Prairie Stadium,Grand Prairie,United States of America,approved_auto,source=gemini_candidate
"Grange Cricket Club Ground, Raeburn Place",Edinburgh,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,approved_auto,source=gemini_candidate
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,approved_auto,source=gemini_candidate
"Grange Cricket Club, Raeburn Place",Edinburgh,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,approved_auto,source=gemini_candidate
Green Park,Kanpur,Green Park,Kanpur,India,approved_auto,source=gemini_candidate
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,Greenfield International Stadium,Thiruvananthapuram,India,approved_auto,source=gemini_candidate
Greenfield Stadium,Thiruvananthapuram,Greenfield International Stadium,Thiruvananthapuram,India,approved_auto,source=gemini_candidate
"Gymkhana Club Ground, Nairobi",Nairobi,Gymkhana Club Ground,Nairobi,Kenya,approved_auto,source=gemini_candidate
Hagley Oval,Christchurch,Hagley Oval,Christchurch,New Zealand,approved_auto,source=gemini_candidate
"Hagley Oval, Christchurch",Christchurch,Hagley Oval,Christchurch,New Zealand,approved_auto,source=gemini_candidate
Happy Valley Ground,Episkopi,Happy Valley Ground,Episkopi,Cyprus,approved_auto,source=gemini_candidate
Happy Valley Ground 2,Episkopi,Happy Valley Ground,Episkopi,Cyprus,approved_auto,source=gemini_candidate
Harare Sports Club,Harare,Harare Sports Club,Harare,Zimbabwe,approved_auto,source=gemini_candidate
Haslegrave Ground,Loughborough,Haslegrave Ground,Loughborough,England,approved_auto,source=gemini_candidate
Hazelaarweg,Rotterdam,Hazelaarweg,Rotterdam,Netherlands,approved_auto,source=gemini_candidate
Headingley,Leeds,Headingley,Leeds,England,approved_auto,source=gemini_candidate
Himachal Pradesh Cricket Association Stadium,Dharmasala,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,approved_auto,source=gemini_candidate
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,approved_auto,source=gemini_candidate
"Holkar Cricket Stadium, Indore",Indore,Holkar Cricket Stadium,Indore,India,approved_auto,source=gemini_candidate
Holkar Stadium,Indore,Holkar Cricket Stadium,Indore,India,approved_auto,source=gemini_candidate
Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong,approved_auto,source=gemini_candidate
Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong,approved_auto,source=gemini_candidate
ICC Academy Ground No 2,Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
"ICC Academy Ground No 2, Dubai",Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
ICC Academy Oval 1,Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
ICC Academy Oval 2,Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
"ICC Academy, Dubai",Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
ICC Global Cricket Academy,Dubai,ICC Academy,Dubai,United Arab Emirates,approved_auto,source=gemini_candidate
"Ground 1, Independence Park",Port Vila,Independence Park,Port Vila,Vanuatu,approved_auto,source=gemini_candidate
"Ground 2, Independence Park",Port Vila,Independence Park,Port Vila,Vanuatu,approved_auto,source=gemini_candidate
"Independence Park, Port Vila",Port Vila,Independence Park,Port Vila,Vanuatu,approved_auto,source=gemini_candidate
"Indian Association Ground, Singapore",Singapore,Indian Association Ground,Singapore,Singapore,approved_auto,source=gemini_candidate
"International Sports Stadium, Coffs Harbour",Coffs Harbour,International Sports Stadium,Coffs Harbour,Australia,approved_auto,source=gemini_candidate
Invermay Park,Launceston,Invermay Park,Launceston,Australia,approved_auto,source=gemini_candidate
"Invermay Park, Launceston",Launceston,Invermay Park,Launceston,Australia,approved_auto,source=gemini_candidate
"Iqbal Stadium, Faisalabad",Faisalabad,Iqbal Stadium,Faisalabad,Pakistan,approved_auto,source=gemini_candidate
JSCA International Stadium Complex,Ranchi,JSCA International Stadium Complex,Ranchi,India,approved_auto,source=gemini_candidate
"JSCA International Stadium Complex, Ranchi",Ranchi,JSCA International Stadium Complex,Ranchi,India,approved_auto,source=gemini_candidate
"JU Second Campus, Salt Lake",Kolkata,Jadavpur University Campus,Kolkata,India,approved_auto,source=gemini_candidate
Jadavpur University Campus,Kolkata,Jadavpur University Campus,Kolkata,India,approved_auto,source=gemini_candidate
"Jadavpur University Campus 2nd Ground, Kolkata",Kolkata,Jadavpur University Campus,Kolkata,India,approved_auto,source=gemini_candidate
"Jade Stadium, Christchurch",Christchurch,Jade Stadium,Christchurch,New Zealand,approved_auto,source=gemini_candidate
John Davies Oval,Queenstown,John Davies Oval,Queenstown,New Zealand,approved_auto,source=gemini_candidate
"John Davies Oval, Queenstown",Queenstown,John Davies Oval,Queenstown,New Zealand,approved_auto,source=gemini_candidate
Johor Cricket Academy Oval,Johor,Johor Cricket Academy Oval,Johor,Malaysia,approved_auto,source=gemini_candidate
Johor Cricket Academy Oval,Johor,Johor Cricket Academy Oval,Johor,Malaysia,approved_auto,source=gemini_candidate
"Junction Oval, Melbourne",Melbourne,Junction Oval,Melbourne,Australia,approved_auto,source=gemini_candidate
"Karen Rolton Oval, Adelaide",Adelaide,Karen Rolton Oval,Adelaide,Australia,approved_auto,source=gemini_candidate
Kennington Oval,London,Kennington Oval,London,England,approved_auto,source=gemini_candidate
"Kennington Oval, London",London,Kennington Oval,London,England,approved_auto,source=gemini_candidate
"Kensington Oval, Barbados",Bridgetown,Kensington Oval,Bridgetown,Barbados,approved_auto,source=gemini_candidate
"Kensington Oval, Bridgetown",Barbados,Kensington Oval,Bridgetown,Barbados,approved_auto,source=gemini_candidate
"Kensington Oval, Bridgetown, Barbados",Bridgetown,Kensington Oval,Bridgetown,Barbados,approved_auto,source=gemini_candidate
Kent County Cricket Ground,Beckenham,Kent County Cricket Ground,Beckenham,England,approved_auto,source=gemini_candidate
"Kent County Cricket Ground, Beckenham",Beckenham,Kent County Cricket Ground,Beckenham,England,approved_auto,source=gemini_candidate
King George V Sports Ground,Castel,King George V Sports Ground,Castel,Guernsey,approved_auto,source=gemini_candidate
"King George V Sports Ground, Castel",Castel,King George V Sports Ground,Castel,Guernsey,approved_auto,source=gemini_candidate
"Kingsmead, Durban",Durban,Kingsmead,Durban,South Africa,approved_auto,source=gemini_candidate
"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Kinrara Academy Oval,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
Kinrara Oval,Kuala Lumpur,Kinrara Academy Oval,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
Koge Cricket Club,Koge,Koge Cricket Club,Koge,Denmark,approved_auto,source=gemini_candidate
Koge Cricket Club 2,Koge,Koge Cricket Club,Koge,Denmark,approved_auto,source=gemini_candidate
"Kyambogo Cricket Ground, Kampala",Kampala,Kyambogo Cricket Oval,Kampala,Uganda,approved_auto,source=gemini_candidate
Lalabhai Contractor Stadium,Surat,Lalbhai Contractor Stadium,Surat,India,approved_auto,source=gemini_candidate
Lalbhai Contractor Stadium,Surat,Lalbhai Contractor Stadium,Surat,India,approved_auto,source=gemini_candidate
Lavington Sports Oval,Albury,Lavington Sports Oval,Albury,Australia,approved_auto,source=gemini_candidate
"Lavington Sports Oval, Albury",Albury,Lavington Sports Oval,Albury,Australia,approved_auto,source=gemini_candidate
"Lilac Hill Park, Perth",Perth,Lilac Hill Park,Perth,Australia,approved_auto,source=gemini_candidate
"Lord's, London",London,Lord's,London,England,approved_auto,source=gemini_candidate
"Lugogo Cricket Oval, Kampala",Kampala,Lugogo Cricket Oval,Kampala,Uganda,approved_auto,source=gemini_candidate
M Chinnaswamy Stadium,Bangalore,M Chinnaswamy Stadium,Bengaluru,India,approved_auto,source=gemini_candidate
"M Chinnaswamy Stadium, Bangalore",Bengaluru,M Chinnaswamy Stadium,Bengaluru,India,approved_auto,source=gemini_candidate
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,M Chinnaswamy Stadium,Bengaluru,India,approved_auto,source=gemini_candidate
M.Chinnaswamy Stadium,Bengaluru,M Chinnaswamy Stadium,Bengaluru,India,approved_auto,source=gemini_candidate
"MA Aziz Stadium, Chittagong",Chattogram,MA Aziz Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
"MA Chidambaram Stadium, Chepauk",Chennai,MA Chidambaram Stadium,Chennai,India,approved_auto,source=gemini_candidate
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,MA Chidambaram Stadium,Chennai,India,approved_auto,source=gemini_candidate
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,Maharaja Yadavindra Singh International Cricket Stadium,New Chandigarh,India,approved_auto,source=gemini_candidate
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,Maharaja Yadavindra Singh International Cricket Stadium,New Chandigarh,India,approved_auto,source=gemini_candidate
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Maharaja Yadavindra Singh International Cricket Stadium,New Chandigarh,India,approved_auto,source=gemini_candidate
"Maharashtra Cricket Association Stadium, Pune",Pune,Maharashtra Cricket Association Stadium,Pune,India,approved_auto,source=gemini_candidate
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,approved_auto,source=gemini_candidate
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,approved_auto,source=gemini_candidate
Mainpower Oval,Rangiora,Mainpower Oval,Rangiora,New Zealand,approved_auto,source=gemini_candidate
"Mainpower Oval, Rangiora",Rangiora,Mainpower Oval,Rangiora,New Zealand,approved_auto,source=gemini_candidate
Malahide,Dublin,Malahide,Dublin,Ireland,approved_auto,source=gemini_candidate
"Malahide, Dublin",Dublin,Malahide,Dublin,Ireland,approved_auto,source=gemini_candidate
Mannofield Park,Aberdeen,Mannofield Park,Aberdeen,Scotland,approved_auto,source=gemini_candidate
"Mannofield Park, Aberdeen",Aberdeen,Mannofield Park,Aberdeen,Scotland,approved_auto,source=gemini_candidate
