venue_id,canonical_venue,canonical_city,canonical_country
ven_000071,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina
ven_000072,Bellerive Oval,Hobart,Australia
ven_000073,"Bellerive Oval, Hobart",Hobart,Australia
ven_000074,Bermuda National Stadium,Hamilton,Bermuda
ven_000075,Bert Sutcliffe Oval,Lincoln,New Zealand
ven_000076,"Bert Sutcliffe Oval, Lincoln",Lincoln,New Zealand
ven_000077,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
ven_000078,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
ven_000079,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,Lucknow,India
ven_000080,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India
ven_000081,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh
ven_000082,BKC Ground,Mumbai,India
ven_000083,Blacktown International Sportspark,Sydney,Australia
ven_000084,"Blacktown International Sportspark, Sydney",Sydney,Australia
ven_000085,"Bloomfield Cricket and Athletic Club Ground, Colombo",Colombo,Sri Lanka
ven_000086,Boland Bank Park,Paarl,South Africa
ven_000087,"Boland Bank Park, Paarl",Paarl,South Africa
ven_000088,Boland Park,Paarl,South Africa
ven_000089,"Boland Park, Paarl",Paarl,South Africa
ven_000090,"Botkyrka Cricket Center, Stockholm",Stockholm,Sweden
ven_000091,Botswana Cricket Association Oval 1,Gaborone,Botswana
ven_000092,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana
ven_000093,Botswana Cricket Association Oval 2,Gaborone,Botswana
ven_000094,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana
ven_000095,"Boughton Hall Cricket Club Ground, Chester",Chester,England
ven_000096,Brabourne Stadium,Mumbai,India
ven_000097,"Brabourne Stadium, Mumbai",Mumbai,India
ven_000098,Bradman Oval,Bowral,Australia
ven_000099,"Bradman Oval, Bowral",Bowral,Australia
ven_000100,Bready,Derry,Northern Ireland
ven_000101,"Bready Cricket Club, Magheramason",Bready,Northern Ireland
ven_000102,"Bready Cricket Club, Magheramason",Londonderry,Northern Ireland
ven_000103,"Bready Cricket Club, Magheramason, Bready",Bready,Northern Ireland
ven_000104,"Brian Lara Stadium, Tarouba",Tarouba,Trinidad and Tobago
ven_000105,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Trinidad and Tobago
ven_000106,Brisbane Cricket Ground,Brisbane,Australia
ven_000107,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia
ven_000108,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia
ven_000109,"Brunton Memorial Ground, Radlett",Radlett,England
ven_000110,Buffalo Park,East London,South Africa
ven_000111,"Buffalo Park, East London",East London,South Africa
ven_000112,Bulawayo Athletic Club,Bulawayo,Zimbabwe
ven_000113,"Bundaberg Rum Stadium, Cairns",Cairns,Australia
ven_000114,"Burgher Recreation Club Ground, Colombo",Colombo,Sri Lanka
ven_000115,C B Patel Ground,Surat,India
ven_000116,Camberwell Sports Ground,Melbourne,Australia
ven_000117,Cambusdoon New Ground,Ayr,Scotland
ven_000118,"Cambusdoon New Ground, Ayr",Ayr,Scotland
ven_000119,"Campbell Park, Milton Keynes",Milton Keynes,England
ven_000120,Canterbury Park,Bendigo,Australia
ven_000121,Captain Roop Singh Stadium,Gwalior,India
ven_000122,"Captain Roop Singh Stadium, Gwalior",Gwalior,India
ven_000123,Carisbrook,Dunedin,New Zealand
ven_000124,Carrara Oval,Carrara,Australia
ven_000125,"Casey Fields No 4, Melbourne",Melbourne,Australia
ven_000126,Casey Fields No. 4,Melbourne,Australia
ven_000127,Castle Avenue,Dublin,Ireland
ven_000128,"Castle Avenue, Dublin",Dublin,Ireland
ven_000129,Castle Park Cricket Ground,Colchester,England
ven_000130,"Castle Park Cricket Ground, Colchester",Colchester,England
ven_000131,Cazaly's Stadium,Cairns,Australia
ven_000132,"Cazaly's Stadium, Cairns",Cairns,Australia
ven_000133,Cello Basin Reserve,Wellington,New Zealand
ven_000134,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America
ven_000135,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States of America
ven_000136,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia
ven_000137,Centro Sportivo Ca'Nova,Medicina,Italy
ven_000138,Centro Sportivo Dozza,Navile,Italy
ven_000139,Chaudhry Bansi Lal Cricket Stadium,Lahli,India
ven_000140,"Chester Road North Ground, Kidderminster",Kidderminster,England
ven_000141,Chevrolet Park,Bloemfontein,South Africa
ven_000142,"Chevrolet Park, Bloemfontein",Bloemfontein,South Africa
ven_000143,Chilaw Marians Cricket Club Ground,Katunayake,Sri Lanka
ven_000144,Chittagong Divisional Stadium,Chattogram,Bangladesh
ven_000145,"Choice Moosa Stadium, Pearland",Pearland,United States of America
ven_000146,"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Belfast,Northern Ireland
ven_000147,Church Street Park,Morrisville,United States of America
ven_000148,"Church Street Park, Morrisville",Morrisville,United States of America
ven_000149,City Oval,Pietermaritzburg,South Africa
ven_000150,"City Oval, Pietermaritzburg",Pietermaritzburg,South Africa
ven_000151,"Civil Service Cricket Club, Stormont",Belfast,Northern Ireland
ven_000152,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Northern Ireland
ven_000153,"Clayton Panama, Panama City",Panama City,Panama
ven_000154,"Clifton Park Ground, York",York,England
ven_000155,Clontarf Cricket Club Ground,Dublin,Ireland
ven_000156,"Clontarf Cricket Club Ground, Dublin",Dublin,Ireland
ven_000157,Cobham Oval,Whangarei,New Zealand
ven_000158,Cobham Oval (New),Whangarei,New Zealand
ven_000159,"Cobham Oval (New), Whangarei",Whangarei,New Zealand
ven_000160,"Cobham Oval, Whangarei",Whangarei,New Zealand
ven_000161,Colin Maiden Park,Auckland,New Zealand
ven_000162,"Colin Maiden Park, Auckland",Auckland,New Zealand
ven_000163,College Field,St Peter Port,Guernsey
ven_000164,"College Field, St Peter Port",St Peter Port,Guernsey
ven_000165,College Ground,Cheltenham,England
ven_000166,"College Ground, Cheltenham",Cheltenham,England
ven_000167,Colombo Cricket Club Ground,Colombo,Sri Lanka
ven_000168,Colts Cricket Club Ground,Colombo,Sri Lanka
ven_000169,"Colts Cricket Club Ground, Colombo",Colombo,Sri Lanka
ven_000170,Colwyn Bay Cricket Club Ground,Colwyn Bay,Wales
ven_000171,Coolidge Cricket Ground,Coolidge,Antigua and Barbuda
ven_000172,"Coolidge Cricket Ground, Antigua",Coolidge,Antigua and Barbuda
ven_000173,County Ground,Bristol,England
ven_000174,County Ground,Chelmsford,England
ven_000175,County Ground,Derby,England
ven_000176,County Ground,Hove,England
ven_000177,County Ground,Northampton,England
ven_000178,County Ground,Taunton,England
ven_000179,"County Ground, Bristol",Bristol,England
ven_000180,"County Ground, Chelmsford",Chelmsford,England
ven_000181,"County Ground, Derby",Derby,England
ven_000182,"County Ground, Hove",Hove,England
ven_000183,"County Ground, New Road",Worcester,England
ven_000184,"County Ground, New Road, Worcester",Worcester,England
ven_000185,"County Ground, Northampton",Northampton,England
ven_000186,"County Ground, Taunton",Taunton,England
ven_000187,"Cricket Central, Sydney",Sydney,Australia
ven_000188,Cricket Field Lane,Bishop's Stortford,England
ven_000189,"Cricket Field Road Ground, Horsham",Horsham,England
ven_000190,"Cricket Stadium, Sector-16",Chandigarh,India
ven_000191,Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
ven_000192,"Daren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia
ven_000193,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Saint Lucia
ven_000194,"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia
ven_000195,"Darren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia
ven_000196,"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia
ven_000197,"Davies Park, Queenstown",Queenstown,New Zealand
ven_000198,De Beers Diamond Oval,Kimberley,South Africa
ven_000199,"De Beers Diamond Oval, Kimberley",Kimberley,South Africa
ven_000200,"De Zoysa Stadium, Moratuwa",Moratuwa,Sri Lanka
ven_000201,Desert Springs Cricket Ground,Almeria,Spain
ven_000202,"Desert Springs Cricket Ground, Almeria",Almeria,Spain
ven_000203,Diamond Oval,Kimberley,South Africa
ven_000204,"Diamond Oval, Kimberley",Kimberley,South Africa
ven_000205,Docklands Stadium,Melbourne,Australia
ven_000206,"Docklands Stadium, Melbourne",Melbourne,Australia
ven_000207,Dower Park,Bendigo,Australia
ven_000208,Dr DY Patil Sports Academy,Mumbai,India
ven_000209,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India
ven_000210,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,India
ven_000211,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India
ven_000212,Dr P.V.G. Raju ACA Sports Complex,Vizianagaram,India
ven_000213,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",Mulapadu,India
ven_000214,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Mulapadu,India
ven_000215,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,Visakhapatnam,India
ven_000216,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
ven_000217,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India
ven_000218,Dreux Sport Cricket Club,Dreux,France
ven_000219,DRIEMS Ground,Cuttack,India
ven_000220,Drummoyne Oval,Sydney,Australia
ven_000221,"Drummoyne Oval, Sydney",Sydney,Australia
ven_000222,Dubai International Cricket Stadium,Dubai,United Arab Emirates
ven_000223,Dubai Sports City Cricket Stadium,Dubai,United Arab Emirates
ven_000224,Eastern Oval,Ballarat,Australia
ven_000225,"Eastern Oval, Ballarat",Ballarat,Australia
ven_000226,Eden Gardens,Kolkata,India
ven_000227,"Eden Gardens, Kolkata",Kolkata,India
ven_000228,Eden Park,Auckland,New Zealand
ven_000229,Eden Park No 2,Auckland,New Zealand
ven_000230,"Eden Park No 2, Auckland",Auckland,New Zealand
ven_000231,Eden Park Outer Oval,Auckland,New Zealand
ven_000232,"Eden Park Outer Oval, Auckland",Auckland,New Zealand
ven_000233,"Eden Park, Auckland",Auckland,New Zealand
ven_000234,Edgbaston,Birmingham,England
ven_000235,"Edgbaston Foundation Community Sports Ground, Birmingham",Birmingham,England
ven_000236,"Edgbaston, Birmingham",Birmingham,England
ven_000237,"Ekeberg Cricket Ground 1, Oslo",Oslo,Norway
ven_000238,"Ekeberg Cricket Ground 2, Oslo",Oslo,Norway
ven_000239,Emerald Heights International School Ground,Indore,India
ven_000240,"Enborne Lodge, Newbury",Newbury,England
ven_000241,Entebbe Cricket Oval,Entebbe,Uganda
ven_000242,Estonian National Cricket and Rugby Field,Tallinn,Estonia
ven_000243,Europa Sports Complex,Gibraltar,Gibraltar
ven_000244,F B Colony Ground,Vadodara,India
ven_000245,Faleata Oval No 1,Apia,Samoa
ven_000246,Faleata Oval No 2,Apia,Samoa
ven_000247,"Faleata Oval No 2, Apia",Apia,Samoa
ven_000248,Faleata Oval No 3,Apia,Samoa
ven_000249,Farmers Cricket Club Ground,St Martin,Jersey
ven_000250,"Farmers Cricket Club Ground, St Martin",St Martin,Jersey
ven_000251,FB Fields,St Clement,Jersey
ven_000252,"FB Fields, St Clement",St Clement,Jersey
ven_000253,Feroz Shah Kotla,Delhi,India
ven_000254,Fitzherbert Park,Palmerston North,New Zealand
ven_000255,"Fitzherbert Park, Palmerston North",Palmerston North,New Zealand
ven_000256,Forthill,Dundee,Scotland
ven_000257,"Forthill, Dundee",Dundee,Scotland
ven_000258,"FP Fenner's Ground, Cambridge",Cambridge,England
ven_000259,Friendship Oval,Dasmarinas,Philippines
ven_000260,"FTZ Sports Complex (Board of Investment), Katunayake",Katunayake,Sri Lanka
ven_000261,FTZ Sports Complex (BOI),Katunayake,Sri Lanka
ven_000262,Gaddafi Stadium,Lahore,Pakistan
ven_000263,"Gaddafi Stadium, Lahore",Lahore,Pakistan
ven_000264,"Gahanga B Ground, Rwanda",Kigali City,Rwanda
ven_000265,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda
ven_000266,Gahanga International Cricket Stadium. Rwanda,Kigali,Rwanda
ven_000267,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda
ven_000268,Galle International Stadium,Galle,Sri Lanka
ven_000269,Garon Park,Southend-on-Sea,England
ven_000270,"GB Oval, Szodliget",Szodliget,Hungary
ven_000271,Geelong Cricket Ground,Geelong,Australia
ven_000272,Gelephu International Cricket Ground,Gelephu,Bhutan
ven_000273,Gliderol Stadium,Adelaide,Australia
ven_000274,"Gliderol Stadium, Adelaide",Adelaide,Australia
ven_000275,"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia
ven_000276,Gokaraju Liala Gangaaraju ACA Cricket Ground,Vijayawada,India
ven_000277,Goldenacre,Edinburgh,Scotland
ven_000278,"Goldenacre, Edinburgh",Edinburgh,Scotland
ven_000279,Goodyear Park,Bloemfontein,South Africa
ven_000280,"Goodyear Park, Bloemfontein",Bloemfontein,South Africa
ven_000281,"Gorse Lane, Grantham",Grantham,England
ven_000282,Grace Road,Leicester,England
ven_000283,"Grace Road, Leicester",Leicester,England
ven_000284,Grainville,St Saviour,Jersey
ven_000285,"Grainville, St Saviour",St Saviour,Jersey
ven_000286,"Grainville, St Saviour, Jersey",St Saviour,Jersey
ven_000287,Grand Prairie Stadium,Dallas,United States of America
ven_000288,Grand Prairie Stadium,Grand Prairie,United States of America
ven_000289,"Grand Prairie Stadium, Dallas",Dallas,United States of America
ven_000290,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland
ven_000291,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland
ven_000292,"Grange Cricket Club, Raeburn Place",Edinburgh,Scotland
ven_000293,"Great Barrier Reef Arena, Mackay",Mackay,Australia
ven_000294,Green Park,Kanpur,India
ven_000295,"Green Park, Kanpur",Kanpur,India
ven_000296,Greenfield International Stadium,Thiruvananthapuram,India
ven_000297,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India
ven_000298,Greenfield Stadium,Thiruvananthapuram,India
ven_000299,"Ground 1, Independence Park",Port Vila,Vanuatu
ven_000300,"Ground 2, Independence Park",Port Vila,Vanuatu
ven_000301,"GSSS, Sector 26",Chandigarh,India
ven_000302,Guanggong International Cricket Stadium,Guangzhou,China
ven_000303,Gucherre Cricket Ground,Albergaria,Portugal
ven_000304,"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,Guernsey
ven_000305,"Guildford Bason, Merrow Down",Guildford,England
ven_000306,Gurugram Cricket Ground (SRNCC),Gurugram,India
ven_000307,Guttsta Wicked Cricket Club,Kolsva,Sweden
ven_000308,"Guyana National Stadium, Providence",Providence,Guyana
ven_000309,Gymkhana Club,Chiang Mai,Thailand
ven_000310,Gymkhana Club Ground,Nairobi,Kenya
ven_000311,"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,Tanzania
ven_000312,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya
ven_000313,Hagley Oval,Christchurch,New Zealand
ven_000314,"Hagley Oval, Christchurch",Christchurch,New Zealand
ven_000315,Happy Valley Ground,Episkopi,Cyprus
ven_000316,Happy Valley Ground 2,Episkopi,Cyprus
ven_000317,Harare Sports Club,Harare,Zimbabwe
ven_000318,Hare Field,Coggeshall,England
ven_000319,Harlequins,Pretoria,South Africa
ven_000320,Harrup Park,Mackay,Australia
ven_000321,"Harry Barker Reserve, Gisborne",Gisborne,New Zealand
ven_000322,Haslegrave Ground,Loughborough,England
ven_000323,"Haslegrave Ground, Loughborough",Loughborough,England
ven_000324,Hazelaarweg,Rotterdam,Netherlands
ven_000325,"Hazelaarweg, Rotterdam",Rotterdam,Netherlands
ven_000326,Headingley,Leeds,England
ven_000327,"Headingley, Leeds",Leeds,England
ven_000328,"High Performance Oval, Windhoek",Windhoek,Namibia
ven_000329,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
ven_000330,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India
ven_000331,Holkar Cricket Stadium,Indore,India
ven_000332,"Holkar Cricket Stadium, Indore",Indore,India
ven_000333,Holkar Stadium,Indore,India
ven_000334,Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong
ven_000335,Howell Oval,Sydney,Australia
ven_000336,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina
ven_000337,Hurstville Oval,Sydney,Australia
ven_000338,IC-Gurunanak College Ground,Chennai,India
ven_000339,ICC Academy,Dubai,United Arab Emirates
ven_000340,ICC Academy Ground No 2,Dubai,United Arab Emirates
ven_000341,"ICC Academy Ground No 2, Dubai",Dubai,United Arab Emirates
ven_000342,ICC Academy Oval 1,Dubai,United Arab Emirates
ven_000343,ICC Academy Oval 2,Dubai,United Arab Emirates
ven_000344,"ICC Academy, Dubai",Dubai,United Arab Emirates
ven_000345,ICC Global Cricket Academy,Dubai,United Arab Emirates
ven_000346,"Independence Park, Port Vila",Port Vila,Vanuatu
ven_000347,Indian Association Ground,Singapore,Singapore
ven_000348,"Indian Association Ground, Singapore",Singapore,Singapore
ven_000349,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India
ven_000350,"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",Belfast,Northern Ireland
ven_000351,Integrated Polytechnic Regional Centre,Kigali City,Rwanda
ven_000352,International Sports Stadium,Coffs Harbour,Australia
ven_000353,"International Sports Stadium, Coffs Harbour",Coffs Harbour,Australia
ven_000354,Invermay Park,Launceston,Australia
ven_000355,"Invermay Park, Launceston",Launceston,Australia
ven_000356,Iqbal Stadium,Faisalabad,Pakistan
ven_000357,"Iqbal Stadium, Faisalabad",Faisalabad,Pakistan
ven_000358,"Ishoj Cricket Club, Vejledalen",Ishoj,Denmark
ven_000359,Jadavpur University Campus,Kolkata,India
ven_000360,"Jadavpur University Campus 2nd Ground, Kolkata",Kolkata,India
ven_000361,Jade Stadium,Christchurch,New Zealand
ven_000362,"Jade Stadium, Christchurch",Christchurch,New Zealand
ven_000363,Jaffery Sports Club Ground,Nairobi,Kenya
ven_000364,Jawaharlal Nehru Stadium,New Delhi,India
ven_000365,"Jimmy Powell Oval, Cayman Islands",George Town,Cayman Islands
ven_000366,Jinja Cricket Ground,Jinja,Uganda
ven_000367,John Davies Oval,Queenstown,New Zealand
ven_000368,"John Davies Oval, Queenstown",Queenstown,New Zealand
ven_000369,Johor Cricket Academy Oval,Johor,Malaysia
ven_000370,JSCA International Stadium Complex,Ranchi,India
ven_000371,"JSCA International Stadium Complex, Ranchi",Ranchi,India
ven_000372,"JU Second Campus, Salt Lake",Kolkata,India
ven_000373,"Jubilee Park, Ringwood, Melbourne",Melbourne,Australia
ven_000374,Junction Oval,Melbourne,Australia
ven_000375,"Junction Oval, Melbourne",Melbourne,Australia
ven_000376,Kaizuka Cricket Ground,Osaka,Japan
ven_000377,Kallang Ground,Singapore,Singapore
ven_000378,Karen Rolton Oval,Adelaide,Australia
ven_000379,"Karen Rolton Oval, Adelaide",Adelaide,Australia
ven_000380,"Karori Park, Wellington",Wellington,New Zealand
ven_000381,Keenan Stadium,Jamshedpur,India
ven_000382,Kennards Hire Community Oval,Sydney,Australia
ven_000383,Kennington Oval,London,England
ven_000384,"Kennington Oval, London",London,England
ven_000385,Kensington Oval,Bridgetown,Barbados
ven_000386,"Kensington Oval, Barbados",Bridgetown,Barbados
ven_000387,"Kensington Oval, Bridgetown",Bridgetown,Barbados
ven_000388,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Barbados
ven_000389,Kent County Cricket Ground,Beckenham,England
ven_000390,"Kent County Cricket Ground, Beckenham",Beckenham,England
ven_000391,Kerava National Cricket Ground,Kerava,Finland
ven_000392,Kerrydale Oval,Gold Coast,Australia
ven_000393,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
ven_000394,Khettarama Stadium,Colombo,Sri Lanka
ven_000395,Kibworth Cricket Club Ground,Kibworth,England
ven_000396,Kibworth Cricket Club New Ground,Kibworth,England
ven_000397,King George V Sports Ground,Castel,Guernsey
ven_000398,"King George V Sports Ground, Castel",Castel,Guernsey
ven_000399,Kingsmead,Durban,South Africa
ven_000400,"Kingsmead, Durban",Durban,South Africa
ven_000401,"Kingston Twin Ovals, Hobart",Hobart,Australia
ven_000402,Kinrara Academy Oval,Kuala Lumpur,Malaysia
ven_000403,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Malaysia
ven_000404,Kinrara Oval,Kuala Lumpur,Malaysia
ven_000405,Koge Cricket Club,Koge,Denmark
ven_000406,Koge Cricket Club 2,Koge,Denmark
ven_000407,"Kotambi Stadium, Vadodara",Vadodara,India
ven_000408,Kowloon Cricket Club,Kowloon,Hong Kong
ven_000409,"KSCA Cricket Ground, Alur",Bengaluru,India
ven_000410,Kwekwe Sports Club,Kwekwe,Zimbabwe
ven_000411,"Kyambogo Cricket Ground, Kampala",Kampala,Uganda
ven_000412,Kyambogo Cricket Oval,Kampala,Uganda
ven_000413,La Manga Club Bottom Ground,Murcia,Spain
ven_000414,La Manga Club Top Ground,Murcia,Spain
ven_000415,Lahore City Cricket Association Ground,Lahore,Pakistan
ven_000416,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,India
ven_000417,Lalabhai Contractor Stadium,Surat,India
ven_000418,Lalbhai Contractor Stadium,Surat,India
ven_000419,Las Caballerizas,Mexico City,Mexico
ven_000420,"Latrobe Recreation Ground, Latrobe",Latrobe,Australia
ven_000421,Lavington Sports Oval,Albury,Australia
ven_000422,"Lavington Sports Oval, Albury",Albury,Australia
ven_000423,LC de Villiers Oval,Pretoria,South Africa
ven_000424,Lilac Hill Park,Perth,Australia
ven_000425,"Lilac Hill Park, Perth",Perth,Australia
ven_000426,"Lindum Sports Club Ground, Lincoln",Lincoln,England
ven_000427,Lisicji Jarak Cricket Ground,Belgrade,Serbia
ven_000428,Lochlands,Arbroath,Scotland
ven_000429,Lord's,London,England
ven_000430,"Lord's, London",London,England
ven_000431,"Lords, St David's Cricket Club Ground",St David's,Bermuda
ven_000432,Los Reyes Polo Club,Guacima,Costa Rica
ven_000433,Louth Cricket Club,Louth,England
ven_000434,Lugogo Cricket Oval,Kampala,Uganda
ven_000435,"Lugogo Cricket Oval, Kampala",Kampala,Uganda
ven_000436,M Chinnaswamy Stadium,Bengaluru,India
ven_000437,"M Chinnaswamy Stadium, Bangalore",Bengaluru,India
ven_000438,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India
ven_000439,M.Chinnaswamy Stadium,Bengaluru,India
ven_000440,MA Aziz Stadium,Chattogram,Bangladesh
ven_000441,"MA Aziz Stadium, Chittagong",Chattogram,Bangladesh
